timestamp,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,health_status
2025-01-01T00:00:00,49.664,50.794,58.067,58.388,58.334,58.889,62.395,63.474,65.627,,69.161,70.05,0
2025-01-01T00:01:00,50.01,53.397,53.129,52.928,57.287,61.332,63.485,65.128,70.193,69.941,70.832,72.691,0
2025-01-01T00:02:00,50.535,,54.845,,58.518,59.344,60.517,63.762,,69.042,72.569,71.56,0
2025-01-01T00:03:00,52.225,53.708,57.448,57.022,60.175,,81.625,64.261,67.181,70.013,68.091,72.897,0
2025-01-01T00:04:00,55.273,52.346,56.142,57.977,,62.859,63.873,63.805,64.347,70.055,70.249,73.547,0
2025-01-01T00:05:00,52.14,51.736,58.934,57.533,60.422,62.628,62.966,66.601,66.508,68.868,70.706,73.195,0
2025-01-01T00:06:00,51.465,52.017,59.14,59.728,60.485,60.668,68.014,68.867,,67.238,73.943,71.959,0
2025-01-01T00:07:00,50.798,57.486,55.935,59.138,63.801,60.801,62.954,86.411,,90.53,73.399,72.894,0
2025-01-01T00:08:00,,57.745,55.555,58.813,60.811,63.016,64.487,65.661,69.325,69.676,73.45,76.035,0
2025-01-01T00:09:00,51.972,55.346,59.531,59.542,64.917,64.579,67.47,65.185,68.216,71.852,72.455,72.104,0
2025-01-01T00:10:00,55.977,54.404,60.345,60.778,64.367,63.598,47.094,67.545,68.885,73.083,77.163,,0
2025-01-01T00:11:00,57.23,56.969,57.618,60.549,62.464,66.108,66.394,65.066,69.504,75.167,70.035,74.02,0
2025-01-01T00:12:00,59.601,59.488,,61.933,63.111,65.134,66.357,68.43,71.969,,70.556,76.564,0
2025-01-01T00:13:00,57.567,,58.826,63.568,65.191,65.601,69.918,68.66,68.624,75.094,74.566,79.046,0
2025-01-01T00:14:00,59.212,60.084,61.133,63.722,,65.704,71.157,68.675,73.147,71.229,76.185,77.988,0
2025-01-01T00:15:00,57.4,58.759,61.207,64.716,66.206,64.819,68.828,90.379,71.021,75.327,75.773,78.603,0
2025-01-01T00:16:00,58.914,60.91,62.199,65.883,65.062,67.139,66.614,68.737,,76.805,77.85,78.927,0
2025-01-01T00:17:00,56.901,58.497,62.667,,65.888,69.89,68.291,69.57,74.343,74.314,76.235,74.682,0
2025-01-01T00:18:00,56.662,60.823,64.283,62.642,67.934,65.408,69.049,68.361,74.201,73.083,77.351,77.07,0
2025-01-01T00:19:00,60.918,63.997,64.329,65.889,66.407,67.824,65.971,70.363,74.779,74.9,77.481,77.99,0
2025-01-01T00:20:00,61.167,,63.261,62.995,64.572,67.554,69.011,71.038,70.476,,77.674,80.013,0
2025-01-01T00:21:00,58.948,61.415,61.573,,,68.357,69.265,72.816,72.471,74.229,77.765,78.476,0
2025-01-01T00:22:00,58.392,61.116,61.391,66.144,68.727,70.129,70.781,70.749,73.888,,75.378,78.462,0
2025-01-01T00:23:00,61.484,61.782,62.306,65.887,65.741,68.132,68.652,,73.973,73.4,78.525,81.529,0
2025-01-01T00:24:00,59.371,62.621,65.225,65.848,64.448,68.671,70.561,74.686,73.916,77.122,99.802,80.472,0
2025-01-01T00:25:00,58.879,61.576,62.8,66.733,,69.285,69.57,71.352,74.786,79.076,78.806,80.6,0
2025-01-01T00:26:00,,57.593,65.715,65.966,68.421,70.882,70.215,73.355,77.116,77.197,77.437,80.335,0
2025-01-01T00:27:00,59.941,63.259,64.706,67.238,,71.2,68.851,73.963,73.661,77.04,75.876,80.408,0
2025-01-01T00:28:00,59.318,,63.702,64.153,67.925,71.39,70.813,75.087,75.048,77.854,79.218,79.506,0
2025-01-01T00:29:00,61.892,63.407,65.946,65.193,65.672,,73.472,,76.699,75.661,78.182,,0
2025-01-01T00:30:00,58.787,61.897,66.275,66.759,68.529,68.655,73.933,75.735,73.875,77.809,80.119,80.963,0
2025-01-01T00:31:00,58.509,59.687,63.418,66.261,68.34,72.277,74.093,74.815,76.175,79.518,79.164,79.319,0
2025-01-01T00:32:00,59.309,61.422,64.356,62.859,67.402,71.357,75.601,74.979,75.394,77.737,79.28,81.275,0
2025-01-01T00:33:00,57.57,,62.378,67.615,68.924,69.808,71.049,72.836,78.448,79.385,76.342,79.566,0
2025-01-01T00:34:00,58.66,58.794,64.287,66.4,67.152,69.466,71.614,74.116,76.817,80.33,76.542,,0
2025-01-01T00:35:00,57.75,61.016,61.262,64.797,68.607,69.667,70.411,73.72,72.733,,80.299,82.649,0
2025-01-01T00:36:00,61.032,60.574,66.061,64.131,65.019,67.905,70.234,71.541,78.515,76.231,78.272,82.942,0
2025-01-01T00:37:00,57.477,61.228,62.855,67.948,68.407,68.347,73.236,76.345,75.718,77.877,81.079,,0
2025-01-01T00:38:00,57.321,59.401,43.16,65.765,,69.575,71.863,73.338,73.088,78.529,79.89,82.047,0
2025-01-01T00:39:00,54.948,60.611,83.015,65.699,,70.522,72.044,73.51,77.413,77.854,79.726,85.174,0
2025-01-01T00:40:00,53.603,61.174,60.564,65.316,68.524,70.008,73.264,73.903,77.312,77.913,82.172,77.757,0
2025-01-01T00:41:00,54.656,58.568,60.613,63.226,67.383,69.214,71.312,73.109,77.317,76.909,80.725,82.585,0
