COURSE ID,COURSE TITLE,COURSE URL,SESSION,DURATION,COURSE SCHEDULE ( 1H / DAY)
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Getting started ,6M,1
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Operations on one matrix ,1H34M,1
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Operations on two matrices ,56M,2
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Matrices as vectors ,1H55M,3-4
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Dot products and cross products ,1H17M,5
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Matrix-vector products ,1H37M,6-7
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Transformations ,1H40M,8-9
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Inverses ,1H5M,10
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Determinants ,1H13M,11
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Transposes ,1H25M,12-13
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Orthogonality and change of basis ,1H41M,14-15
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Orthonormal bases and Gram-Schmidt ,37M,16
MATH_01,Become a Linear Algebra Master,https://havelsan.udemy.com/course/linear-algebra-course/,Eigenvalues and Eigenvectors ,39M,17
,,,,,
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Introductions ,24M,1
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Math prerequisites ,44M,1
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,IMPORTANT: Download course materials ,4M,2
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,What are (is?) data? ,56M,2
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Visualizing data ,1H59M,3-4
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Descriptive statistics ,4H32M,5-6-7-8-9
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Data normalizations and outliers ,2H32M,10-11-12
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Probability theory ,4H29M,13-14-15-16-17
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Hypothesis testing ,2H26M,18-19-20
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,The t-test family ,2H44M,21-22-23
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Confidence intervals on parameters ,1H3M,24
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Correlation ,3H56M,25-26-27-28
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Analysis of Variance (ANOVA) ,2H45M,29-30-31
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Regression ,3H22M,32-33-34-35
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Statistical power and sample sizes ,25M,36
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Clustering and dimension-reduction ,2H48M,37-38-39
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,Signal detection theory ,1H24M,40-41
MATH_02,Master statistics  and   machine learning: intuition  math  code,https://havelsan.udemy.com/course/statsml_x/,A real-world data journey ,1H37M,42
,,,,,
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Introduction  Data  and Graphs ,1H25M,1-2
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Probability ,2H1M,3-4
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Normal distributions ,1H28M,5-6
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,One Proportion: Z-test ,55M,7
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Two Proportions:: Z-test ,20M,8
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,One Mean: Z-test  t-test ,29M,8
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Two Means: T-test ,23M,8
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Confidence Intervals ,48M,9
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Chi-Square Tests ,50M,10
MATH_03,Statistics: A Step-by-step Introduction,https://havelsan.udemy.com/course/statistics-intro/,Correlation and Simple Linear Regression ,1H20M,11-12
,,,,,
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Introduction ,1M,1
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Probability Distributions ,29M,1
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Expected Values ,17M,1
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Estimators and the Method of Moments ,17M,1
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Unbiased Estimators ,24M,2
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Variance ,36M,2
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Maximum Likelihood Estimation ,48M,3
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Fisher Information and the Cramer-Rao Lower Bound ,22M,4
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Central Limit Theorem ,28M,4
MATH_04,Mathematical Statistics for Data Science,https://havelsan.udemy.com/course/mathstat/,Confidence Intervals ,26M,4
,,,,,
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Introduction ,4M,1
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Introduction1,59M,1
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Visualizing Data in Python ,45M,2
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Linear Algebra ,36M,3
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Statistics ,43M,4
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Probability in Python ,57M,5
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Gradient Descent ,36M,6
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Data Exploration and Working with Data ,1H33M,7-8
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Introduction to Machine Learning ,28M,9
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,K-Nearest Neighbors ,38M,9
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Naive Bayes ,27M,10
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Simple Linear Regression ,22M,10
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Multiple Regression ,57M,11
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Logistic Regression ,27M,12
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Decision Trees ,51M,13
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Neural Networks ,51M,14
ML_01,Learn Data Science Machine Learning and Neural Networks,https://havelsan.udemy.com/course/learn-data-science-machine-learning-and-neural-networks/,Clusters ,25M,15
,,,,,
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Welcome to the course! Here we will help you get started in the best conditions. ,12M,1
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,-------------------- Part 1: Data Preprocessing -------------------- ,10M,1
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Data Preprocessing in Python ,1H32M,2
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Data Preprocessing in R ,47M,3
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Simple Linear Regression ,1H12M,4
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Multiple Linear Regression ,2H16M,5-6
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Polynomial Regression ,1H39M,7-8
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Support Vector Regression (SVR) ,1H3M,9
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Decision Tree Regression ,52M,10
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Random Forest Regression ,35M,11
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Evaluating Regression Models Performance ,10M,12
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Regression Model Selection in Python ,28M,12
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Regression Model Selection in R ,19M,12
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,-------------------- Part 3: Classification -------------------- ,2M,12
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Logistic Regression ,1H54M,13-14
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,K-Nearest Neighbors (K-NN) ,37M,15
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Support Vector Machine (SVM) ,35M,16
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Kernel SVM ,1H5M,17
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Naive Bayes ,1H16M,18
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Decision Tree Classification ,37M,19
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Random Forest Classification ,33M,19
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Classification Model Selection in Python ,25M,20
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Evaluating Classification Models Performance ,29M,20
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,K-Means Clustering ,1H24M,21-22
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Hierarchical Clustering ,1H21M,23-24
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Apriori ,2H10M,25-26
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Eclat ,28M,27
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Upper Confidence Bound (UCB) ,2H22M,27-28-29
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Thompson Sampling ,1H30M,30-31
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,-------------------- Part 7: Natural Language Processing -------------------- ,3H5M,32-33-34
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,-------------------- Part 8: Deep Learning -------------------- ,12M,35
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Artificial Neural Networks ,3H25M,36-37-38
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Convolutional Neural Networks ,3H14M,39-40-41
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Principal Component Analysis (PCA) ,1H3M,42
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Linear Discriminant Analysis (LDA) ,38M,43
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Kernel PCA ,31M,43
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Model Selection ,1H22M,44-45
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,XGBoost ,33M,46
ML_02,Machine Learning A-Z (Python  and   R in Data Science Course),https://havelsan.udemy.com/course/machinelearning/,Annex: Logistic Regression (Long Explanation) ,17M,46
,,,,,
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Introduction ,3M,1
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Setting Up The Working Environment ,18M,1
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Linear Regression with StatsModels ,1H24M,1-2
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Linear Regression with Sklearn ,54M,3
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Linear Regression - Practical Example ,37M,4
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Logistic Regression ,40M,5
ML_03,Machine Learning 101 with Scikit-learn and StatsModels,https://havelsan.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,Cluster Analysis ,1H2M,6
,,,,,
ML_04,Mastering Machine Learning within Artificial Intelligence,https://havelsan.udemy.com/course/machine-learning-and-ia/,Foundations of Machine Learning ,48M,1
ML_04,Mastering Machine Learning within Artificial Intelligence,https://havelsan.udemy.com/course/machine-learning-and-ia/,Regression Models in Practice ,1H52M,2-3
ML_04,Mastering Machine Learning within Artificial Intelligence,https://havelsan.udemy.com/course/machine-learning-and-ia/,Classification with Neural Networks ,1H26M,4-5
ML_04,Mastering Machine Learning within Artificial Intelligence,https://havelsan.udemy.com/course/machine-learning-and-ia/,Sequence Modeling with Neural Networks ,10M,6
ML_04,Mastering Machine Learning within Artificial Intelligence,https://havelsan.udemy.com/course/machine-learning-and-ia/,Unsupervised Learning: Clustering and Dimensionality Reduction ,55M,6
ML_04,Mastering Machine Learning within Artificial Intelligence,https://havelsan.udemy.com/course/machine-learning-and-ia/,Reinforcement Learning in Action ,1H25M,7-8
,,,,,
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Introduction to Machine Learning with Real Hearth Attack Prediction Project ,1H6M,1
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,First Organization ,22M,2
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Preparation For Exploratory Data Analysis (EDA) in Data Science ,40M,2
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Exploratory Data Analysis (EDA) - Uni-variate Analysis ,58M,3
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Exploratory Data Analysis (EDA) - Bi-variate Analysis ,1H56M,4-5
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Preparation for Modelling in Machine Learning ,1H14M,6
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Modelling for Machine Learning ,1H1M,7
ML_05,Machine Learning Project: Heart Attack Prediction Analysis,https://havelsan.udemy.com/course/machine-learning-project-heart-attack-prediction-analysis/,Conclusion ,3M,8
,,,,,
ML_06,Data Science Real World Projects in Python,https://havelsan.udemy.com/course/data-science-real-world-projects-in-python-x/,Introduction to this course ,12M,1
ML_06,Data Science Real World Projects in Python,https://havelsan.udemy.com/course/data-science-real-world-projects-in-python-x/,Introduction to data Science ,21M,1
ML_06,Data Science Real World Projects in Python,https://havelsan.udemy.com/course/data-science-real-world-projects-in-python-x/,Introduction to Life-Cycle of Data Science Project ! ,46M,1
